 time            v(clk)          v(D)            v(Dn)           v(Q0)           v(Qn0)          v(Q1)           v(Qn1)          v(Q2)           v(Qn2)          v(Q3)           v(Qn3)         
 1.72800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.12371881e-03  1.78513788e+00  1.12372698e-03  1.78513785e+00  1.12366097e-03  1.78513899e+00  2.05360589e-03  1.77540388e+00 
 1.82800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  6.42614457e-04  1.78810039e+00  6.42617724e-04  1.78810036e+00  6.42579834e-04  1.78810130e+00  1.81025290e-03  1.78308020e+00 
 1.92800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  8.21828237e-04  1.79049049e+00  8.21834585e-04  1.79049046e+00  8.21786181e-04  1.79049121e+00  9.19877530e-04  1.78767704e+00 
 2.02800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.30492493e-04  1.79238112e+00  4.30493215e-04  1.79238110e+00  4.30472992e-04  1.79238172e+00  9.91357950e-04  1.79170678e+00 
 2.12800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  6.25474496e-04  1.79390808e+00  6.25479597e-04  1.79390806e+00  6.25443790e-04  1.79390854e+00  3.65470438e-04  1.79378274e+00 
 2.22800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  2.97567419e-04  1.79511312e+00  2.97566470e-04  1.79511310e+00  2.97557705e-04  1.79511350e+00  5.78829110e-04  1.79598587e+00 
 2.32800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.97112877e-04  1.79608751e+00  4.97117048e-04  1.79608749e+00  4.97090358e-04  1.79608780e+00  9.70574464e-05  1.79681893e+00 
 2.42800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  2.15236956e-04  1.79685517e+00  2.15234944e-04  1.79685515e+00  2.15233271e-04  1.79685541e+00  3.68083863e-04  1.79810411e+00 
 2.52800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  4.12357201e-04  1.79747641e+00  4.12360755e-04  1.79747640e+00  4.12340071e-04  1.79747660e+00 -2.99751298e-05  1.79833008e+00 
 2.62800000e-10  0.00000000e+00  0.00000000e+00  1.80000000e+00  1.64934568e-04  1.79796529e+00  1.64931908e-04  1.79796528e+00  1.64934449e-04  1.79796544e+00  2.55569855e-04  1.79915027e+00 
